subject,condition,n_samples,non_gap_samples,non_gap_coverage,recognized_aoi_samples,sample_interval_s,fixation_events,condition_primary_pass,condition_pass_40,condition_pass_60,eye_included,conditions,min_coverage,total_events,eye_included_40,eye_included_60
202511251628,gravity,19291,17387.0,0.9013011248768856,14455.0,0.0166666666669925,688.0,True,True,True,True,2,0.9013011248768856,1308.0,True,True
202511251628,zero_gravity,17439,16033.0,0.9193761110155398,12922.0,0.0166666666669925,620.0,True,True,True,True,2,0.9013011248768856,1308.0,True,True
202511251659,gravity,15013,14631.0,0.9745553853327116,12217.0,0.0166666666669925,681.0,True,True,True,True,2,0.9701904136572554,1398.0,True,True
202511251659,zero_gravity,15230,14776.0,0.9701904136572554,12763.0,0.0166666666669925,717.0,True,True,True,True,2,0.9701904136572554,1398.0,True,True
202511260959,gravity,14714,13322.0,0.9053962212858502,9303.0,0.0166666666669925,485.0,True,True,True,True,2,0.8967575634242301,922.0,True,True
202511260959,zero_gravity,14742,13220.0,0.8967575634242301,8554.0,0.0166666666669925,437.0,True,True,True,True,2,0.8967575634242301,922.0,True,True
202511261442,gravity,13555,11705.0,0.8635189966801918,7882.0,0.0166666666669925,367.0,True,True,True,True,2,0.8614449509600773,729.0,True,True
202511261442,zero_gravity,14478,12472.0,0.8614449509600773,7801.0,0.0166666666669925,362.0,True,True,True,True,2,0.8614449509600773,729.0,True,True
202511261447,gravity,14505,13048.0,0.8995518786625302,10043.0,0.0166666666669925,443.0,True,True,True,True,2,0.8677599212856675,925.0,True,True
202511261447,zero_gravity,15245,13229.0,0.8677599212856675,10403.0,0.0166666666669925,482.0,True,True,True,True,2,0.8677599212856675,925.0,True,True
202511261624,gravity,14031,13622.0,0.9708502601382653,10423.0,0.0166666666669925,442.0,True,True,True,True,2,0.9614647647434532,903.0,True,True
202511261624,zero_gravity,14091,13548.0,0.9614647647434532,10564.0,0.0166666666669925,461.0,True,True,True,True,2,0.9614647647434532,903.0,True,True
202511261626,gravity,6602,6412.0,0.9712208421690396,5674.0,0.0333333333330188,268.0,True,True,True,True,2,0.9712208421690396,539.0,True,True
202511261626,zero_gravity,6737,6588.0,0.977883330859433,6063.0,0.0333333333330188,271.0,True,True,True,True,2,0.9712208421690396,539.0,True,True
202511261627,gravity,14142,13093.0,0.9258237873002404,10550.0,0.0166666666669925,548.0,True,True,True,True,2,0.9112821988775364,1094.0,True,True
202511261627,zero_gravity,13898,12665.0,0.9112821988775364,10551.0,0.0166666666669925,546.0,True,True,True,True,2,0.9112821988775364,1094.0,True,True
202511271030,gravity,14219,13571.0,0.9544271749068148,9541.0,0.0166666666669925,567.0,True,True,True,True,2,0.922356406480118,1316.0,True,True
202511271030,zero_gravity,16975,15657.0,0.922356406480118,12105.0,0.0166666666669925,749.0,True,True,True,True,2,0.922356406480118,1316.0,True,True
202511271033,gravity,6394,4692.0,0.7338129496402878,3985.0,0.0333333333330188,252.0,True,True,True,True,2,0.7338129496402878,590.0,True,True
202511271033,zero_gravity,8037,6548.0,0.8147318651238025,4576.0,0.0333333333330188,338.0,True,True,True,True,2,0.7338129496402878,590.0,True,True
202511271431,gravity,14509,12763.0,0.8796609001309532,7794.0,0.0166666666669925,374.0,True,True,True,True,2,0.8796609001309532,705.0,True,True
202511271431,zero_gravity,14775,13010.0,0.8805414551607444,6704.0,0.0166666666669925,331.0,True,True,True,True,2,0.8796609001309532,705.0,True,True
202511271434,gravity,13968,13043.0,0.9337772050400917,12372.0,0.0166666666669925,616.0,True,True,True,True,2,0.9337772050400917,1280.0,True,True
202511271434,zero_gravity,14456,13830.0,0.9566961815163254,13056.0,0.0166666666669925,664.0,True,True,True,True,2,0.9337772050400917,1280.0,True,True
202511271621,gravity,11607,10779.0,0.9286637373998448,10269.0,0.0166666666669925,337.0,True,True,True,True,2,0.9249851895734598,762.0,True,True
202511271621,zero_gravity,13504,12491.0,0.9249851895734598,11753.0,0.0166666666669925,425.0,True,True,True,True,2,0.9249851895734598,762.0,True,True
202511271638,gravity,13925,13635.0,0.9791741472172352,13028.0,0.0166666666669925,569.0,True,True,True,True,2,0.9791741472172352,1132.0,True,True
202511271638,zero_gravity,13914,13685.0,0.9835417565042404,13525.0,0.0166666666669925,563.0,True,True,True,True,2,0.9791741472172352,1132.0,True,True
