subject,condition,region,total_fixation_time,fixation_count,mean_fixation_time,fixation_time_ratio,fixation_time_ratio_logit,total_fixation_time_log1p,fixation_count_log1p,mean_fixation_time_log1p
202512100952,zero_gravity,position,34.75000000002149,79,0.43987341772179095,0.2284931506848589,-1.2168393149195982,3.576550269140618,4.382026634673881,0.3645552053642272
202512101006,gravity,ball,114.03333333345293,398,0.28651591289812295,0.7950267255403167,1.355496128970789,4.7452219414368875,5.988961416889864,0.25193772180278606
202512101006,gravity,position,29.400000000031554,92,0.31956521739164734,0.20497327445968327,-1.3554961289707887,3.414442608413214,4.532599493153256,0.2773023015766175
202512101006,zero_gravity,ball,95.7000000001143,392,0.24413265306151608,0.6722866174921404,0.7185453711657527,4.5716134024604305,5.973809611869261,0.21843862292577873
202512101006,zero_gravity,position,46.65000000004653,139,0.33561151079170165,0.3277133825078597,-0.7185453711657525,3.8638826301011875,4.941642422609304,0.28938924749264794
202512101010,gravity,ball,88.89999999991329,242,0.36735537190046813,0.8163452708906269,1.4917798689652109,4.49869794147661,5.493061443340548,0.312878488770618
202512101010,gravity,position,19.999999999993634,26,0.7692307692305244,0.18365472910937308,-1.4917798689652109,3.0445224377231197,3.295836866004329,0.5705448584674745
202512101010,zero_gravity,ball,138.49999999986846,385,0.3597402597399181,0.8937405893740397,2.129532190101423,4.938064601260478,5.955837369464831,0.307293696022556
202512101010,zero_gravity,position,16.466666666654362,38,0.43333333333300955,0.1062594106259603,-2.1295321901014237,2.860294302658182,3.6635616461296463,0.36000273403118116
202512101424,gravity,ball,112.61666666681265,415,0.2713654618477413,0.7890004670714345,1.318910992959781,4.732830209141969,6.030685260261263,0.24009148970186914
202512101424,gravity,position,30.11666666671067,126,0.23902116402151327,0.21099953292856552,-1.318910992959781,3.437743581321036,4.844187086458591,0.21432168403583374
202512101424,zero_gravity,ball,87.13333333345832,344,0.2532945736437742,0.621788772597629,0.4971475989703273,4.47885081931084,5.84354441703136,0.2257757429712743
202512101424,zero_gravity,position,53.000000000052864,186,0.284946236559424,0.37821122740237106,-0.4971475989703272,3.9889840465652533,5.231108616854587,0.2507168782185306
202512101439,gravity,ball,121.93333333347005,419,0.29101034208465404,0.8044864745986214,1.414574593436811,4.811642203015441,6.040254711277414,0.2554251227422975
202512101439,gravity,position,29.633333333369393,96,0.30868055555593116,0.1955135254013786,-1.4145745934368108,3.4220887406947087,4.574710978503383,0.26901942013743085
202512101439,zero_gravity,ball,96.5000000001018,343,0.28134110787201694,0.6042579837194912,0.4232387071922006,4.579852378004846,5.840641657373398,0.24790726995952342
202512101439,zero_gravity,position,63.20000000006212,190,0.33263157894769535,0.39574201628050876,-0.4232387071922006,4.162003210696883,5.25227342804663,0.28715561810978035
202512101615,gravity,ball,148.0333333334921,417,0.35499600319782276,0.8107713372889751,1.4550299234166977,5.004169994572891,6.035481432524756,0.30379850465781044
202512101615,gravity,position,34.55000000002221,74,0.466891891892192,0.1892286627110249,-1.4550299234166977,3.5709401562498746,4.31748811353631,0.38314580312033564
