subject,condition,dyad,count,total_transitions,rate,dyad_total,spam_included,m_minus_2sd_threshold,auc
202511251659,zero_gravity,position->position,72,716,0.1005586592178771,1395,True,431.1657434710614,0.50625
202511260959,gravity,ball->ball,363,483,0.7515527950310559,919,True,431.1657434710614,0.5892857142857143
202511260959,gravity,ball->position,51,483,0.10559006211180125,919,True,431.1657434710614,0.5892857142857143
202511260959,gravity,position->ball,52,483,0.10766045548654245,919,True,431.1657434710614,0.5892857142857143
202511260959,gravity,position->position,17,483,0.035196687370600416,919,True,431.1657434710614,0.5892857142857143
202511260959,zero_gravity,ball->ball,263,436,0.6032110091743119,919,True,431.1657434710614,0.4180602006688964
202511260959,zero_gravity,ball->position,55,436,0.12614678899082568,919,True,431.1657434710614,0.4180602006688964
202511260959,zero_gravity,position->ball,55,436,0.12614678899082568,919,True,431.1657434710614,0.4180602006688964
202511260959,zero_gravity,position->position,63,436,0.1444954128440367,919,True,431.1657434710614,0.4180602006688964
202511261442,gravity,ball->ball,301,365,0.8246575342465754,726,True,431.1657434710614,0.4583333333333333
202511261442,gravity,ball->position,28,365,0.07671232876712329,726,True,431.1657434710614,0.4583333333333333
202511261442,gravity,position->ball,28,365,0.07671232876712329,726,True,431.1657434710614,0.4583333333333333
202511261442,gravity,position->position,8,365,0.021917808219178082,726,True,431.1657434710614,0.4583333333333333
202511261442,zero_gravity,ball->ball,245,361,0.6786703601108033,726,True,431.1657434710614,
202511261442,zero_gravity,ball->position,50,361,0.13850415512465375,726,True,431.1657434710614,
202511261442,zero_gravity,position->ball,50,361,0.13850415512465375,726,True,431.1657434710614,
202511261442,zero_gravity,position->position,16,361,0.0443213296398892,726,True,431.1657434710614,
202511261447,gravity,ball->ball,353,441,0.800453514739229,922,True,431.1657434710614,0.46153846153846156
202511261447,gravity,ball->position,38,441,0.08616780045351474,922,True,431.1657434710614,0.46153846153846156
202511261447,gravity,position->ball,38,441,0.08616780045351474,922,True,431.1657434710614,0.46153846153846156
202511261447,gravity,position->position,12,441,0.027210884353741496,922,True,431.1657434710614,0.46153846153846156
202511261447,zero_gravity,ball->ball,245,481,0.5093555093555093,922,True,431.1657434710614,
202511261447,zero_gravity,ball->position,57,481,0.11850311850311851,922,True,431.1657434710614,
202511261447,zero_gravity,position->ball,57,481,0.11850311850311851,922,True,431.1657434710614,
202511261447,zero_gravity,position->position,122,481,0.25363825363825365,922,True,431.1657434710614,
202511261624,gravity,ball->ball,345,440,0.7840909090909091,900,True,431.1657434710614,0.5208333333333333
202511261624,gravity,ball->position,41,440,0.09318181818181819,900,True,431.1657434710614,0.5208333333333333
202511261624,gravity,position->ball,41,440,0.09318181818181819,900,True,431.1657434710614,0.5208333333333333
202511261624,gravity,position->position,13,440,0.029545454545454545,900,True,431.1657434710614,0.5208333333333333
202511261624,zero_gravity,ball->ball,355,460,0.7717391304347826,900,True,431.1657434710614,0.55625
202511261624,zero_gravity,ball->position,43,460,0.09347826086956522,900,True,431.1657434710614,0.55625
202511261624,zero_gravity,position->ball,43,460,0.09347826086956522,900,True,431.1657434710614,0.55625
202511261624,zero_gravity,position->position,19,460,0.041304347826086954,900,True,431.1657434710614,0.55625
202511261626,gravity,ball->ball,198,266,0.7443609022556391,536,True,431.1657434710614,0.8161290322580645
202511261626,gravity,ball->position,27,266,0.10150375939849623,536,True,431.1657434710614,0.8161290322580645
202511261626,gravity,position->ball,27,266,0.10150375939849623,536,True,431.1657434710614,0.8161290322580645
202511261626,gravity,position->position,14,266,0.05263157894736842,536,True,431.1657434710614,0.8161290322580645
202511261626,zero_gravity,ball->ball,158,270,0.5851851851851851,536,True,431.1657434710614,0.515625
202511261626,zero_gravity,ball->position,53,270,0.1962962962962963,536,True,431.1657434710614,0.515625
202511261626,zero_gravity,position->ball,52,270,0.1925925925925926,536,True,431.1657434710614,0.515625
202511261626,zero_gravity,position->position,7,270,0.025925925925925925,536,True,431.1657434710614,0.515625
202511261627,gravity,ball->ball,409,546,0.7490842490842491,1091,True,431.1657434710614,0.5499999999999999
202511261627,gravity,ball->position,55,546,0.10073260073260074,1091,True,431.1657434710614,0.5499999999999999
202511261627,gravity,position->ball,55,546,0.10073260073260074,1091,True,431.1657434710614,0.5499999999999999
202511261627,gravity,position->position,27,546,0.04945054945054945,1091,True,431.1657434710614,0.5499999999999999
202511261627,zero_gravity,ball->ball,364,545,0.6678899082568808,1091,True,431.1657434710614,0.5785953177257525
202511261627,zero_gravity,ball->position,82,545,0.15045871559633028,1091,True,431.1657434710614,0.5785953177257525
202511261627,zero_gravity,position->ball,82,545,0.15045871559633028,1091,True,431.1657434710614,0.5785953177257525
202511261627,zero_gravity,position->position,17,545,0.031192660550458717,1091,True,431.1657434710614,0.5785953177257525
202511271030,gravity,ball->ball,395,565,0.6991150442477876,1313,True,431.1657434710614,0.6625
202511271030,gravity,ball->position,57,565,0.10088495575221239,1313,True,431.1657434710614,0.6625
202511271030,gravity,position->ball,57,565,0.10088495575221239,1313,True,431.1657434710614,0.6625
202511271030,gravity,position->position,56,565,0.09911504424778761,1313,True,431.1657434710614,0.6625
202511271030,zero_gravity,ball->ball,452,748,0.6042780748663101,1313,True,431.1657434710614,0.5683760683760684
202511271030,zero_gravity,ball->position,103,748,0.13770053475935828,1313,True,431.1657434710614,0.5683760683760684
202511271030,zero_gravity,position->ball,103,748,0.13770053475935828,1313,True,431.1657434710614,0.5683760683760684
202511271030,zero_gravity,position->position,90,748,0.12032085561497326,1313,True,431.1657434710614,0.5683760683760684
202511271033,gravity,ball->ball,224,250,0.896,587,True,431.1657434710614,0.6176470588235294
202511271033,gravity,ball->position,11,250,0.044,587,True,431.1657434710614,0.6176470588235294
202511271033,gravity,position->ball,11,250,0.044,587,True,431.1657434710614,0.6176470588235294
202511271033,gravity,position->position,4,250,0.016,587,True,431.1657434710614,0.6176470588235294
202511271033,zero_gravity,ball->ball,228,337,0.6765578635014837,587,True,431.1657434710614,0.6280276816608997
