subject,condition,accuracy,answer_rt_median,answer_rt_mean,confidence_mean,confidence_rt_median,auc,n_valid,n_confidence
202512081637,gravity,0.5833333333333334,948.88355,1001.2602083333334,4.0,757.9038,0.6015873015873016,36,36
202512081637,zero_gravity,0.4722222222222222,858.49965,986.223225,4.0,699.5171,0.5,36,36
202512090949,gravity,0.8,1265.196,1427.5635314285717,6.114285714285714,1250.064,0.6173469387755102,35,35
202512090949,zero_gravity,0.8285714285714286,1818.546,1834.3589714285713,5.4,1447.887,0.5287356321839081,35,35
202512091002,gravity,0.5294117647058824,1008.1246000000001,1194.5256352941176,6.647058823529412,540.8453,0.5625,34,34
202512091002,zero_gravity,0.5555555555555556,1056.9945,1192.6379722222223,7.0,416.41195000000005,,36,36
202512091017,gravity,0.7222222222222222,882.8525500000001,1051.3229944444442,6.861111111111111,366.63779999999997,0.4807692307692308,36,36
202512091017,zero_gravity,0.8611111111111112,816.5009500000001,957.1022027777778,6.833333333333333,482.04065,0.43548387096774194,36,36
202512091426,gravity,0.6470588235294118,1440.9995,1499.4437735294116,6.0,1441.4415,0.7922077922077922,34,32
202512091426,zero_gravity,0.6,1215.037,1296.2356057142858,5.764705882352941,1491.3115,0.4178571428571428,35,34
202512091427,gravity,0.9117647058823529,1149.08,1293.652894117647,5.323529411764706,716.29175,0.6182795698924731,34,34
202512091427,zero_gravity,0.6111111111111112,1149.4205000000002,1195.8481916666667,5.444444444444445,524.4895,0.5227272727272727,36,36
202512091615,gravity,0.8823529411764706,1224.4805000000001,1392.105273529412,7.0,633.76855,,34,34
202512091615,zero_gravity,0.8235294117647058,1149.3114999999998,1330.3761705882355,7.0,665.8611,,34,34
202512091621,gravity,0.8333333333333334,1233.1705,1309.5391666666665,5.027777777777778,1175.1354999999999,0.6138888888888889,36,36
202512091621,zero_gravity,0.6388888888888888,1065.1655,1219.2989305555557,4.833333333333333,1267.016,0.6204013377926421,36,36
202512091629,gravity,0.8571428571428571,1099.543,1219.7160999999999,6.828571428571428,798.5894,0.6666666666666667,35,35
202512091629,zero_gravity,0.7428571428571429,1083.014,1189.1666342857145,6.147058823529412,1349.6115,0.648888888888889,35,34
202512100952,gravity,0.7714285714285715,948.0422,1053.4466714285713,7.0,334.5791,,35,35
202512100952,zero_gravity,0.7714285714285715,916.7183,986.2964457142857,6.9714285714285715,317.2715,0.48148148148148145,35,35
202512101006,gravity,0.6,833.9883,998.6006485714286,7.0,1066.207,,35,35
202512101006,zero_gravity,0.5833333333333334,757.09255,790.2372888888889,6.666666666666667,941.3711000000001,0.4523809523809524,36,36
202512101010,gravity,0.8611111111111112,1191.52,1424.65865,6.027777777777778,924.418,0.45483870967741935,36,36
202512101010,zero_gravity,0.6176470588235294,1074.5555,1111.7011205882352,4.878787878787879,1233.086,0.4,34,33
202512101424,gravity,0.6451612903225806,1899.377,1931.217451612903,6.419354838709677,964.9619,0.425,31,31
202512101424,zero_gravity,0.8235294117647058,1524.551,1669.5928529411767,5.588235294117647,533.17455,0.4583333333333333,34,34
202512101439,gravity,0.8888888888888888,958.2279,1117.7255305555557,4.0,448.8264,0.42578125,36,36
202512101439,zero_gravity,0.8,1082.428,1102.0653714285716,3.914285714285714,499.2085,0.3979591836734694,35,35
202512101615,gravity,0.8611111111111112,707.816,866.7891500000001,6.0285714285714285,833.2808,0.8333333333333333,36,35
