subject,dyad_total,spam_included,m_minus_2sd_threshold
202601151419,842,True,431.1657434710614
202601151516,956,True,431.1657434710614
202601160948,950,True,431.1657434710614
202601161555,1081,True,431.1657434710614
202601161607,639,True,431.1657434710614
202601201533,1087,True,431.1657434710614
202601221031,581,True,431.1657434710614
202601221622,766,True,431.1657434710614
202601231437,655,True,431.1657434710614
202601231616,830,True,431.1657434710614
202601231630,782,True,431.1657434710614
202601231631,631,True,431.1657434710614
202601271536,1306,True,431.1657434710614
202601291546,849,True,431.1657434710614
202601291609,658,True,431.1657434710614
202601311414,1090,True,431.1657434710614
202601311526,571,True,431.1657434710614
202602041413,1187,True,431.1657434710614
202603131141,1113,True,431.1657434710614
202603161028,849,True,431.1657434710614
202603301430,756,True,431.1657434710614
202604171122,1058,True,431.1657434710614
202604181434,1286,True,431.1657434710614
202604211006,1074,True,431.1657434710614
202604211430,951,True,431.1657434710614
202604231424,956,True,431.1657434710614
202604241058,1350,True,431.1657434710614
202604241424,1077,True,431.1657434710614
202604251424,970,True,431.1657434710614
202604291121,1190,True,431.1657434710614
202604291412,877,True,431.1657434710614
202604301109,798,True,431.1657434710614
202604301417,983,True,431.1657434710614
202605081618,512,True,431.1657434710614
202605091021,1040,True,431.1657434710614
202605091507,1102,True,431.1657434710614
202605091613,994,True,431.1657434710614
202605111426,1131,True,431.1657434710614
202605111540,528,True,431.1657434710614
202605111553,458,True,431.1657434710614
202605121423,854,True,431.1657434710614
202605121442,563,True,431.1657434710614
202605131007,524,True,431.1657434710614
202605131426,1047,True,431.1657434710614
202605131703,665,True,431.1657434710614
202605141023,772,True,431.1657434710614
202605141420,707,True,431.1657434710614
202605151433,738,True,431.1657434710614
202605161415,1348,True,431.1657434710614
202605161422,536,True,431.1657434710614
202605181455,1005,True,431.1657434710614
202605191433,861,True,431.1657434710614
202605191954,1176,True,431.1657434710614
202605201004,723,True,431.1657434710614
202605201452,1006,True,431.1657434710614
202605201637,977,True,431.1657434710614
202605211013,811,True,431.1657434710614
202605221039,1375,True,431.1657434710614
202605221450,548,True,431.1657434710614
202605221530,774,True,431.1657434710614
202605221536,763,True,431.1657434710614
202605221545,544,True,431.1657434710614
202605231554,429,False,431.1657434710614
202605231635,847,True,431.1657434710614
202605251447,1195,True,431.1657434710614
202605251607,984,True,431.1657434710614
202605260957,394,False,431.1657434710614
202605261045,778,True,431.1657434710614
202605261430,565,True,431.1657434710614
202605261606,607,True,431.1657434710614
202605261631,585,True,431.1657434710614
202605261634,820,True,431.1657434710614
202605261957,706,True,431.1657434710614
202605261958,552,True,431.1657434710614
202605271051,1239,True,431.1657434710614
202605271423,497,True,431.1657434710614
