"term","estimate","std_error","statistic","p_value","model","odds_ratio","ci_low","ci_high"
"size_pair1.0_1.0","-0.0014764017005813","0.0182799620502739","-0.080766125034662","0.935627948334718","confidence_rt_lmm","NA","-0.0373051273191182","0.0343523239179556"
"target_f1","-0.022298025198665","0.00790043728297626","-2.82237861019572","0.00476688643043283","confidence_rt_lmm","NA","-0.0377828822732985","-0.00681316812403156"
"trial_c","-0.108335872391207","0.00489547402832475","-22.129802295832","1.63291541500485e-108","confidence_rt_lmm","NA","-0.117931001486723","-0.0987407432956904"
"trial_c2","0.0443610189185779","0.0082159607695166","5.39937082990575","6.68750137436141e-08","confidence_rt_lmm","NA","0.0282577358103254","0.0604643020268304"
"conditionzero_gravity:velocity_f3","-0.0253883884302212","0.0252279310887104","-1.0063603052088","0.314242281036362","confidence_rt_lmm","NA","-0.0748351333640937","0.0240583565036512"
"conditionzero_gravity:velocity_f3.5","-0.0642101182110338","0.027597146693159","-2.32669409359449","0.0199815524448916","confidence_rt_lmm","NA","-0.118300525729626","-0.0101197106924421"
"conditionzero_gravity:velocity_f4","-0.0700861937083001","0.024390748413831","-2.8734745043148","0.00405983845154625","confidence_rt_lmm","NA","-0.117892060599409","-0.0222803268171913"
"conditionzero_gravity:velocity_f4.5","-0.0329076956817664","0.0267828776628609","-1.22868409048512","0.219190273451665","confidence_rt_lmm","NA","-0.0854021359009739","0.019586744537441"
"conditionzero_gravity:velocity_f5","-0.0129192966601316","0.0268520137766502","-0.481129525986088","0.630424444431495","confidence_rt_lmm","NA","-0.0655492436623659","0.0397106503421027"
"conditionzero_gravity:size_pair0.8_0.9","-0.01555445586153","0.0275739759694715","-0.5640991302361","0.572686669959066","confidence_rt_lmm","NA","-0.069599448761694","0.0384905370386341"
"conditionzero_gravity:size_pair0.8_1.0","0.0219444888463745","0.0274886132005044","0.798311965987861","0.424689475758717","confidence_rt_lmm","NA","-0.031933193026614","0.075822170719363"
"conditionzero_gravity:size_pair0.9_0.8","0.00865663051447104","0.029608396347223","0.29237079958513","0.770003131885566","confidence_rt_lmm","NA","-0.0493758263260861","0.0666890873550282"
"conditionzero_gravity:size_pair0.9_0.9","-0.0638483771422883","0.0266443907548553","-2.39631589739591","0.0165608106084083","confidence_rt_lmm","NA","-0.116071383021805","-0.0116253712627719"
"conditionzero_gravity:size_pair0.9_1.0","-0.0575473824981939","0.027020511810546","-2.12976656037039","0.0331908907158277","confidence_rt_lmm","NA","-0.110507585646864","-0.00458717934952386"
"conditionzero_gravity:size_pair1.0_0.8","-0.0494189594671604","0.0272847230599573","-1.81123185155898","0.0701049696773948","confidence_rt_lmm","NA","-0.102897016664677","0.00405909773035586"
"conditionzero_gravity:size_pair1.0_0.9","0.0302108185892622","0.0290949173240056","1.03835382148812","0.299105360047641","confidence_rt_lmm","NA","-0.0268152193657888","0.0872368565443131"
"conditionzero_gravity:size_pair1.0_1.0","-0.0238524974533507","0.0263200185174275","-0.906249265651431","0.364803932276102","confidence_rt_lmm","NA","-0.0754397337475086","0.0277347388408071"
"conditionzero_gravity","-0.597797091681775","0.153255248639831","-3.90066308976256","9.59295755933918e-05","confidence_clmm","0.550021950428623","0.407311357845905","0.742734372921066"
"velocity_f3","-0.071808234930674","0.094743132782425","-0.757925485698047","0.44849559219405","confidence_clmm","0.930709356243643","0.772977935192626","1.12062694982826"
"velocity_f3.5","-0.129890285387341","0.121451433077511","-1.06948334898976","0.284851927879334","confidence_clmm","0.878191776105783","0.692162105552663","1.11421990518253"
"velocity_f4","-0.102709104683202","0.0929461904995072","-1.10503834671682","0.269142973497873","confidence_clmm","0.902389436165991","0.752101765246613","1.08270812825039"
"velocity_f4.5","-0.0448527636068129","0.0994689439309833","-0.450922286235732","0.652045560541659","confidence_clmm","0.956138249817052","0.786775844631781","1.16195782954047"
"velocity_f5","-0.0980538233862532","0.114898901993245","-0.853392170727771","0.393441861770409","confidence_clmm","0.906600106153016","0.723788778696737","1.13558509978094"
"size_pair0.8_0.9","0.0962453004758899","0.105613920061933","0.911293704650398","0.362140642531284","confidence_clmm","1.10102911383654","0.895155365669926","1.35425106747635"
"size_pair0.8_1.0","0.0538012012531516","0.100801460067497","0.533734344890701","0.593525343671229","confidence_clmm","1.05527479399434","0.866087219200371","1.28578838961272"
"size_pair0.9_0.8","-0.073586208315921","0.110058881426016","-0.668607634045304","0.503745801525889","confidence_clmm","0.929056049981641","0.748786325470256","1.15272557022915"
"size_pair0.9_0.9","-0.00714365960349532","0.0971812909586214","-0.0735085892873866","0.941401409305294","confidence_clmm","0.992881795682071","0.820682481905636","1.20121274906195"
